No.,Date,Title,再生回数,DeadEnd,死亡フラグ,生存フラグ,恋愛フラグ,Comment
1,2019-11-02,〇〇フラグが立ったらどうすればいいのか？【初投稿】【アニメ】【漫画】,66,0,1,0,0,
2,2019-11-04,【漫画】ゾンビに噛まれた時の対処法【アニメ】【漫画】,70,0,1,0,0,
3,2019-11-06,【漫画】テロ組織を味方につけた一般乗客の大逆転劇【アニメ】【漫画動画】,60,0,1,0,0,
4,2019-11-08,【漫画】進化直後の主人公に直面してしまったらどうなるのか【アニメ】【漫画動画】,50,0,1,0,0,
5,2019-11-10,【漫画】戦いで食い止める役になったらどうすればいいのか【アニメ】【漫画動画】,28,0,1,0,0,
6,2019-11-12,【漫画】天才が人造人間に感情移入…とんでもない結末に【アニメ】【漫画動画】,41,0,1,0,0,
7,2019-11-14,【漫画】コンクリ詰めで東京湾！？潜入捜査官に迫る身の危険…【アニメ】【漫画動画】【死亡フラグ】,13,0,1,0,0,
8,2019-11-16,【漫画】リア充のための犯罪？若者が犯しがちな犯罪、礼拝所不敬罪とは？【アニメ】【漫画動画】,58,1,1,0,0,
9,2019-11-18,【漫画】メンヘラ彼女が心中を迫ってきたら…最悪が重なりに重なり大事件が起きる！【アニメ】【漫画動画】,61,0,1,0,0,
10,2019-11-20,【漫画】山で遭難した迷惑ミーハー登山客、救助後、社会的に影響を受ける…【アニメ】【漫画動画】,109,0,1,0,0,
11,2019-11-22,【閲覧注意】恐怖の人喰いピエロに襲われるとどうなるのか…？【アニメ】【漫画動画】,80,1,1,0,0,
12,2019-11-24,【漫画】アルコール依存症になったサラリーマン…人生の転落劇【アニメ】【漫画動画】,44,1,1,0,0,2回目？
13,2019-11-26,【漫画】男女が砂漠で迷うとどうなるのか？…まさかの〇〇でピンチを切り抜ける？【アニメ】【漫画動画】,58,0,1,0,0,
14,2019-11-28,【漫画】痴漢冤罪でリストラ！女子高生の罠に人生設計を狂わされた男の復讐劇【アニメ】【スカッと】,45,0,1,0,0,
15,2019-11-30,【漫画】海外では犯罪⁉︎逮捕もあり得るNGマナーに気をつけよう【アニメ】【漫画動画】,41,0,1,0,0,
16,2019-12-02,【漫画】糖尿病の本当の恐怖…あなたは大丈夫…？【アニメ】【漫画動画】,175,0,1,0,0,
17,2019-12-04,【漫画】台風直撃でも外出してしまう人の心理【アニメ】【漫画動画】,43,0,1,0,0,
18,2019-12-06,【漫画】閲覧注意…誰もいないはずの家に人影が…【アニメ】【漫画動画】,71,0,1,0,0,
19,2019-12-08,【漫画】世界一気持ちいいことは何なのか…？【アニメ】【漫画動画】,145,0,1,0,0,DeadEndなし
20,2019-12-10,【漫画】もしも小人になったらどうなるのか？…あんなコトやこんなコトが…？？【アニメ】【漫画動画】,289,0,1,0,0,
21,2019-12-12,【悲劇】カジノは人を狂わせる…ギャンブルで破滅した男【アニメ】【漫画動画】,109,0,1,0,0,
22,2019-12-14,【漫画】お風呂で寝ると失神する！？お風呂に入るうえで注意した方が良いこと【アニメ】【漫画動画】,183,0,1,0,0,
23,2019-12-16,【漫画】早食いに人生をかけた男…→その男の人生は思わぬ方向に…【アニメ】【漫画動画】,103,0,1,0,0,
24,2019-12-18,【高額当選】宝くじが当たった男の一生【アニメ】【漫画動画】,72,0,1,0,0,
25,2019-12-20,【漫画】モブキャラ戦闘員になったらどうなるのか【アニメ】【漫画動画】,45,0,1,0,0,
26,2019-12-22,【ミステリー回】犯人は誰…！？旅館で◯人事件が発生、意外なあいつが…【アニメ】【漫画動画】,46,0,1,0,0,
27,2019-12-24,【漫画】無人島で女の子と二人きりのサバイバル生活！....のはずが!?【アニメ】【漫画動画】,155,0,1,0,0,妄想だけど
28,2019-12-26,【漫画】ミニマリストを極めすぎた男の末路【アニメ】【漫画動画】,45,0,1,0,0,
29,2019-12-28,【漫画】事故物件を押し付けてくる不動産屋に証拠を突きつけるが…→まさかの優良物件!?【アニメ】【漫画動画】,41,0,1,0,0,Happy life
30,2019-12-30,【漫画】登校拒否っ子が状況を打開するためにとった行動とは!?【アニメ】【漫画動画】,41,0,1,0,0,
31,2020-01-01,【漫画】夜道で不審者に遭遇…→正体はまさかの⁉【アニメ】【漫画動画】,40,0,1,0,0,
32,2020-01-03,【漫画】YouTuberで一攫千金⁉→調子に乗りすぎて思わぬ結果に…【アニメ】【漫画動画】,45,0,1,0,0,
33,2020-01-05,【漫画】刑務所からの凄まじい脱獄劇【アニメ】【漫画動画】,42,0,1,0,0,
34,2020-01-07,【過酷】高額報酬カニ漁の実態…そんなにうまい話じゃなかった！？【アニメ】【漫画動画】,64,0,1,0,0,
35,2020-01-09,【漫画】ブラック企業に入社するとどうなるのか？→限界寸前で救いの手が！？【アニメ】【漫画動画】,60,0,1,0,0,
36,2020-01-11,【漫画】ストーカー被害にあった時の対処法【アニメ】【漫画動画】,46,0,1,0,0,
37,2020-01-13,【漫画】フラグが立つ→ピンチのはずが!?【アニメ】【漫画動画】,103,0,1,0,0,DeadEndなし
38,2020-01-13,【漫画】もし悪の組織のボスになったらどうなるのか…【アニメ】【漫画動画】,30,0,1,0,0,
39,2020-01-17,【漫画】ダークウェブの世界…意外とすぐそこにある！？【アニメ】【漫画動画】,65,0,1,0,0,
40,2020-01-19,【漫画】麻○中毒になるとどうなるのか【アニメ】【漫画動画】,83,0,1,0,0,
41,2020-01-21,【漫画】ポイ捨てを注意されて逆ギレ→相手が格闘家で…【アニメ】【漫画動画】,33,0,1,0,0,
42,2020-01-23,【漫画】煽り運転に巻き込まれたらどうなるのか【アニメ】【漫画動画】,76,0,1,0,0,
43,2020-01-25,【アニメ】不老不死になるとどうなるのか【漫画】【漫画動画】,129,0,1,0,0,
44,2020-01-27,【漫画】キャッシュレス社会の闇【アニメ】【漫画動画】,56,0,1,0,0,
45,2020-01-29,【アニメ】超ド級！？狂犬病の恐怖…【漫画】【漫画動画】,101,0,1,0,0,フラグちゃん追いかけられる
46,2020-01-31,【ホラー】ニセモノ家族の実態…全部嘘だった…？【アニメ】【漫画動画】,67,0,1,0,0,
47,2020-02-02,【アニメ】雪の女王になったらどうなるのか【漫画動画】,110,0,1,0,0,
48,2020-02-04,【アニメ】英雄が闇落ちするとどうなるのか…その素顔が！？【漫画動画】,50,0,1,0,0,
49,2020-02-06,【アニメ】親の七光りで生きてきた男の末路…【漫画動画】,64,0,1,0,0,DeadEndなし
50,2020-02-08,【アニメ】ワンピースを手に入れるとどうなるのか【漫画動画】,41,1,1,0,0,
51,2020-02-10,【アニメ】人類未到達…火星に行くとどうなるのか【漫画動画】,52,0,1,0,0,
52,2020-02-12,【アニメ】整形中毒になるとどうなるのか…生まれ変われるってホント！？【漫画動画】,315,0,1,0,0,
53,2020-02-14,【アニメ】バレンタインでどうしてもチョコが欲しい男…まさかの展開！？【漫画動画】,105,0,1,0,0,
54,2020-02-16,【アニメ】次世代通信システム５Gになるとどうなるのか【漫画動画】,102,0,1,0,0,
55,2020-02-18,【アニメ】インフルエンザの実態…どうすれば治るの！？【漫画動画】,69,0,1,0,0,
